designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 3293794137083038976",3293794137083038976,69.0546171651116,10.386466813113737,1.0636387324008088,1.1561740537778935,-0.4278148574204066,0.9288431,15.24062,15.81108,14.513851,1.2972288,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5153.004,4.3197,-0.835,819.4451,0.7745,0.6155,0.3342
"Gaia DR3 3293794137083039360",3293794137083039360,69.04938842251718,10.38787439035818,1.6378108300313383,6.741960261610619,2.9183989007036533,1.0050771,16.674498,17.855894,15.605207,2.2506866,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4188.1836,4.227,0.1096,690.4615,1.7402,1.2148,0.6653
"Gaia DR3 3293794171442775808",3293794171442775808,69.06039553155205,10.397934270837327,0.21991505447067852,0.7909280910821088,-1.1863045743293208,0.96564037,16.582565,17.01725,15.963326,1.0539236,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,7006.3354,4.1466,-0.8311,3094.161,1.3042,1.1087,0.6043
"Gaia DR3 3293794201506172928",3293794201506172928,69.07456716693612,10.39765733775791,-0.060486584983121816,-0.9571473249677713,-0.6577940445716965,0.989976,19.852875,20.361752,19.308697,1.0530548,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794201506174080",3293794201506174080,69.08964119463543,10.400864181675452,0.7706730703998677,6.964975512160716,-3.7512696511989185,1.0520302,19.063824,19.930965,18.13299,1.7979755,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794235865666816",3293794235865666816,69.08445368384714,10.408610877026833,1.3387099119474046,1.3210024620539895,-9.37078414835978,1.0085859,12.690504,13.147494,12.062318,1.0851765,20.740591,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 3293794235865914624",3293794235865914624,69.09172297924538,10.405570020566023,1.173798037409397,1.2588201211456014,-3.929112887245689,0.9843062,19.682026,21.14573,18.567476,2.5782528,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794235865915776",3293794235865915776,69.0976680462435,10.408166708627727,0.6314160962715537,-0.9972742482677674,-0.6535654167924859,1.0295919,20.120932,20.51658,19.520124,0.99645615,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794270225654272",3293794270225654272,69.07235441113495,10.407911317986848,0.8853101661566465,-0.39391212236831413,0.8031131478970285,0.9774711,19.92059,21.113003,18.749607,2.3633957,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794270225654400",3293794270225654400,69.07052572557505,10.407709227279236,0.3053474825393889,2.6384510737111833,-1.8271584040765034,1.0069546,20.59033,21.148714,19.514381,1.6343327,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293796228730772736",3293796228730772736,69.19190176021975,10.482319251508905,0.523999694315281,5.497861253597516,-2.5017053543368677,1.0573566,19.758835,20.256792,19.202785,1.0540066,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794274521989376",3293794274521989376,69.06075966243287,10.408096544602365,0.4792751151421697,0.23618600892481778,-0.5263317712595292,1.0278035,18.95603,19.386518,18.367554,1.0189648,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4954.697,4.8405,-2.0547,2340.2253,0.0067,0.0054,0.0029
"Gaia DR3 3293794308881725952",3293794308881725952,69.08009968595196,10.410502853669215,0.6873628212851072,5.904208611189707,-4.851015730754934,1.0325458,17.332624,18.09401,16.494434,1.599575,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4660.914,4.5392,-0.0792,1136.4893,0.8663,0.6511,0.3447
"Gaia DR3 3293794308881882624",3293794308881882624,69.08043069686268,10.413844689151912,0.35395165900641484,2.7623430796056008,1.3745768526361477,1.0439479,20.122744,20.59122,19.452238,1.1389828,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794338945125504",3293794338945125504,69.13468408840671,10.397186703366447,1.0131123377566902,14.590467076981358,-13.178977438545981,0.9888251,19.533066,20.930244,18.305117,2.6251278,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794373304866432",3293794373304866432,69.1375558311342,10.402681298801191,-0.426912314960043,1.3089549412772579,-0.016335888320688774,1.046415,20.657217,21.175901,19.871235,1.3046665,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794373304868992",3293794373304868992,69.14136720444009,10.407467077235166,0.7196828027115171,6.695832526860199,-1.1963248468488048,1.0041312,18.942425,19.984858,17.977757,2.007101,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3561.8965,4.4963,-1.6791,538.4802,0.3613,0.251,0.1361
"Gaia DR3 3293794373304871808",3293794373304871808,69.13894411707706,10.41327745154618,0.38962172642024717,0.4293050387629497,-0.35853327656290596,0.9795504,19.736689,20.318705,19.00763,1.3110752,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794407664606720",3293794407664606720,69.11647541406643,10.405786275041322,0.25693479650067863,0.10252594233719545,-0.4491830483670677,0.98460644,18.35702,18.84949,17.75471,1.09478,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4843.1587,4.8952,-2.2738,1531.5043,0.0107,0.0085,0.0046
"Gaia DR3 3293794446322032000",3293794446322032000,69.12216651993431,10.412517081442616,0.7793935449920188,4.239534436340159,-14.085161838107119,1.046258,19.60039,20.976442,18.401075,2.575367,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794510743830144",3293794510743830144,69.1503729744765,10.429382227713617,0.5444540636226108,5.644275692686888,-11.863742349798796,1.031938,18.470417,19.226387,17.599619,1.6267681,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4047.8416,4.8769,-1.2427,865.5817,0.0671,0.0494,0.0265
"Gaia DR3 3293794510743830272",3293794510743830272,69.15660676493853,10.430313894958417,0.6350344321934009,9.556085453322495,0.5238226993084131,1.032566,18.472595,19.191864,17.640123,1.5517406,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,4035.5627,4.9062,-1.1426,888.468,0.0276,0.0203,0.0109
"Gaia DR3 3293794510746048768",3293794510746048768,69.15063461561104,10.428890617989152,1.8824115945020592,3.458318928928023,-23.107682804700474,0.99188375,20.343271,,,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794545105756544",3293794545105756544,69.13476470001135,10.42473442181827,1.4759129567617253,5.687252310023065,-11.443854127257447,1.0679193,20.745667,21.65529,19.390478,2.2648125,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794579463309056",3293794579463309056,69.14358170043732,10.437216901362204,1.4401723394085597,32.61750952173403,-37.21268945207096,1.056305,19.325155,20.457064,18.34796,2.1091042,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794579465514240",3293794579465514240,69.14392364312458,10.43097950452564,0.016885164984729722,-0.5300306096065794,0.08691959908366367,1.015799,20.808867,21.219074,20.034483,1.1845913,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794583759121536",3293794583759121536,69.15286832332438,10.440874133670022,,,,,21.146574,21.552635,20.268967,1.2836685,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794648184942080",3293794648184942080,69.11959576954727,10.42293541909989,3.0703036550009704,1.7359832546733687,-8.657911608739164,0.98440135,20.783152,21.254145,19.405046,1.8490982,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794721197707136",3293794721197707136,69.1084293659299,10.44115532257161,,,,,21.049644,21.330133,19.969173,1.36096,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794755558317312",3293794755558317312,69.12303783071552,10.438335792166685,6.613885920804881,26.258065581766914,-52.36132764171952,1.0417175,16.683706,18.240776,15.477374,2.763402,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3424.9192,4.8934,-0.2778,151.1301,1.0969,0.7065,0.448
"Gaia DR3 3293794789918053248",3293794789918053248,69.13462373869666,10.45042185664657,0.20102649448844595,1.461195481111817,-0.31311826601436776,0.95286,17.821442,18.35398,17.135456,1.218523,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4796.5366,4.8815,-1.9708,1074.6132,0.2144,0.1687,0.0917
"Gaia DR3 3293794819981489920",3293794819981489920,69.114666186922,10.449447932639464,0.10824964764481583,1.1833877581671317,-2.8225797588213872,1.0383818,19.042503,19.795372,18.297808,1.4975643,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794819983634944",3293794819983634944,69.12013250659182,10.447520823323405,,,,,21.104908,21.453388,20.026237,1.4271507,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794858637530496",3293794858637530496,69.12751343395898,10.451515418350843,0.5799389117443791,1.6081744626696497,-2.8769366842335016,1.0067394,16.916986,17.404152,16.244078,1.1600742,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5460.0747,4.7008,-1.4892,1118.745,0.6881,0.5586,0.3062
"Gaia DR3 3293794858637530752",3293794858637530752,69.12802656402107,10.45092045624014,0.670980481666233,3.1353439524675513,0.7880107780928609,1.0743138,17.833279,18.492641,17.004263,1.4883785,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4513.266,4.8632,-1.4866,809.6086,0.6598,0.5006,0.271
"Gaia DR3 3293794892997283840",3293794892997283840,69.03608829864376,10.393421520232247,1.0171578796032767,10.482672327263298,-2.056916693542348,0.9547297,16.026478,16.641224,15.267594,1.3736296,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5307.2114,4.6138,-0.4932,724.2028,1.0717,0.8479,0.4586
